future_temp,datetime
10.98,2022-06-08 10:00:00
11.725000000000001,2022-06-08 10:15:00
12.47,2022-06-08 10:30:00
13.215,2022-06-08 10:45:00
13.96,2022-06-08 11:00:00
14.84,2022-06-08 11:15:00
15.72,2022-06-08 11:30:00
16.6,2022-06-08 11:45:00
17.48,2022-06-08 12:00:00
17.87,2022-06-08 12:15:00
18.259999999999998,2022-06-08 12:30:00
18.65,2022-06-08 12:45:00
19.04,2022-06-08 13:00:00
19.31,2022-06-08 13:15:00
19.58,2022-06-08 13:30:00
19.85,2022-06-08 13:45:00
20.12,2022-06-08 14:00:00
20.240000000000002,2022-06-08 14:15:00
20.36,2022-06-08 14:30:00
20.48,2022-06-08 14:45:00
20.6,2022-06-08 15:00:00
20.567500000000003,2022-06-08 15:15:00
20.535,2022-06-08 15:30:00
20.502499999999998,2022-06-08 15:45:00
20.47,2022-06-08 16:00:00
20.145,2022-06-08 16:15:00
19.82,2022-06-08 16:30:00
19.495,2022-06-08 16:45:00
19.17,2022-06-08 17:00:00
18.385,2022-06-08 17:15:00
17.6,2022-06-08 17:30:00
16.815,2022-06-08 17:45:00
16.03,2022-06-08 18:00:00
15.715,2022-06-08 18:15:00
15.4,2022-06-08 18:30:00
15.085,2022-06-08 18:45:00
14.77,2022-06-08 19:00:00
14.6275,2022-06-08 19:15:00
14.485,2022-06-08 19:30:00
14.3425,2022-06-08 19:45:00
14.2,2022-06-08 20:00:00
14.087499999999999,2022-06-08 20:15:00
13.975,2022-06-08 20:30:00
13.8625,2022-06-08 20:45:00
13.75,2022-06-08 21:00:00
13.6275,2022-06-08 21:15:00
13.504999999999999,2022-06-08 21:30:00
13.3825,2022-06-08 21:45:00
13.26,2022-06-08 22:00:00
13.165,2022-06-08 22:15:00
13.07,2022-06-08 22:30:00
12.975000000000001,2022-06-08 22:45:00
12.88,2022-06-08 23:00:00
12.8025,2022-06-08 23:15:00
12.725000000000001,2022-06-08 23:30:00
12.6475,2022-06-08 23:45:00
12.57,2022-06-09 00:00:00
12.5,2022-06-09 00:15:00
12.43,2022-06-09 00:30:00
12.36,2022-06-09 00:45:00
12.29,2022-06-09 01:00:00
12.2225,2022-06-09 01:15:00
12.155,2022-06-09 01:30:00
12.087499999999999,2022-06-09 01:45:00
12.02,2022-06-09 02:00:00
11.9225,2022-06-09 02:15:00
11.825,2022-06-09 02:30:00
11.727500000000001,2022-06-09 02:45:00
11.63,2022-06-09 03:00:00
11.4575,2022-06-09 03:15:00
11.285,2022-06-09 03:30:00
11.1125,2022-06-09 03:45:00
10.94,2022-06-09 04:00:00
10.872499999999999,2022-06-09 04:15:00
10.805,2022-06-09 04:30:00
10.7375,2022-06-09 04:45:00
10.67,2022-06-09 05:00:00
10.5625,2022-06-09 05:15:00
10.455,2022-06-09 05:30:00
10.3475,2022-06-09 05:45:00
10.24,2022-06-09 06:00:00
10.165,2022-06-09 06:15:00
10.09,2022-06-09 06:30:00
10.015,2022-06-09 06:45:00
9.94,2022-06-09 07:00:00
9.9375,2022-06-09 07:15:00
9.934999999999999,2022-06-09 07:30:00
9.9325,2022-06-09 07:45:00
9.93,2022-06-09 08:00:00
10.34,2022-06-09 08:15:00
10.75,2022-06-09 08:30:00
11.16,2022-06-09 08:45:00
11.57,2022-06-09 09:00:00
12.190000000000001,2022-06-09 09:15:00
12.81,2022-06-09 09:30:00
13.43,2022-06-09 09:45:00
14.05,2022-06-09 10:00:00
14.5875,2022-06-09 10:15:00
15.125,2022-06-09 10:30:00
15.6625,2022-06-09 10:45:00
16.2,2022-06-09 11:00:00
16.6525,2022-06-09 11:15:00
17.105,2022-06-09 11:30:00
17.5575,2022-06-09 11:45:00
18.01,2022-06-09 12:00:00
18.4225,2022-06-09 12:15:00
18.835,2022-06-09 12:30:00
19.247500000000002,2022-06-09 12:45:00
19.66,2022-06-09 13:00:00
19.94,2022-06-09 13:15:00
20.22,2022-06-09 13:30:00
20.5,2022-06-09 13:45:00
20.78,2022-06-09 14:00:00
20.9525,2022-06-09 14:15:00
21.125,2022-06-09 14:30:00
21.2975,2022-06-09 14:45:00
21.47,2022-06-09 15:00:00
21.4975,2022-06-09 15:15:00
21.525,2022-06-09 15:30:00
21.5525,2022-06-09 15:45:00
21.58,2022-06-09 16:00:00
21.384999999999998,2022-06-09 16:15:00
21.189999999999998,2022-06-09 16:30:00
20.995,2022-06-09 16:45:00
20.8,2022-06-09 17:00:00
20.240000000000002,2022-06-09 17:15:00
19.68,2022-06-09 17:30:00
19.119999999999997,2022-06-09 17:45:00
18.56,2022-06-09 18:00:00
17.8975,2022-06-09 18:15:00
17.235,2022-06-09 18:30:00
16.572499999999998,2022-06-09 18:45:00
15.91,2022-06-09 19:00:00
15.6,2022-06-09 19:15:00
15.29,2022-06-09 19:30:00
14.98,2022-06-09 19:45:00
14.67,2022-06-09 20:00:00
14.625,2022-06-09 20:15:00
14.58,2022-06-09 20:30:00
14.535,2022-06-09 20:45:00
14.49,2022-06-09 21:00:00
14.515,2022-06-09 21:15:00
14.54,2022-06-09 21:30:00
14.565,2022-06-09 21:45:00
14.59,2022-06-09 22:00:00
14.375,2022-06-09 22:15:00
14.16,2022-06-09 22:30:00
13.945,2022-06-09 22:45:00
13.73,2022-06-09 23:00:00
13.477500000000001,2022-06-09 23:15:00
13.225000000000001,2022-06-09 23:30:00
12.9725,2022-06-09 23:45:00
12.72,2022-06-10 00:00:00
12.350000000000001,2022-06-10 00:15:00
11.98,2022-06-10 00:30:00
11.61,2022-06-10 00:45:00
11.24,2022-06-10 01:00:00
10.925,2022-06-10 01:15:00
10.61,2022-06-10 01:30:00
10.295,2022-06-10 01:45:00
9.98,2022-06-10 02:00:00
9.71,2022-06-10 02:15:00
9.440000000000001,2022-06-10 02:30:00
9.17,2022-06-10 02:45:00
8.9,2022-06-10 03:00:00
8.6425,2022-06-10 03:15:00
8.385,2022-06-10 03:30:00
8.1275,2022-06-10 03:45:00
7.87,2022-06-10 04:00:00
7.65,2022-06-10 04:15:00
7.43,2022-06-10 04:30:00
7.21,2022-06-10 04:45:00
6.99,2022-06-10 05:00:00
6.7625,2022-06-10 05:15:00
6.535,2022-06-10 05:30:00
6.3075,2022-06-10 05:45:00
6.08,2022-06-10 06:00:00
