datetime,Demanda pronosticada en [kW],Pronostico Clima
2022-08-02 08:00:00,20489.30393998726,12.56
2022-08-02 08:15:00,21270.353565174984,12.725
2022-08-02 08:30:00,22007.403612956696,12.89
2022-08-02 08:45:00,22684.65758473231,13.055
2022-08-02 09:00:00,23287.279214634756,13.22
2022-08-02 09:15:00,23977.03098001213,13.755
2022-08-02 09:30:00,24567.30233072683,14.29
2022-08-02 09:45:00,25049.001634044773,14.825
2022-08-02 10:00:00,25415.753837957167,15.36
2022-08-02 10:15:00,25476.082703888904,15.4975
2022-08-02 10:30:00,25417.941061341364,15.635
2022-08-02 10:45:00,25244.447239055877,15.7725
2022-08-02 11:00:00,24962.008596905936,15.91
2022-08-02 11:15:00,24801.37427244498,16.515
2022-08-02 11:30:00,24553.89491271427,17.119999999999994
2022-08-02 11:45:00,24234.76442743264,17.724999999999994
2022-08-02 12:00:00,23861.41972197717,18.33
2022-08-02 12:15:00,23175.20417625842,18.3475
2022-08-02 12:30:00,22474.425539389063,18.365
2022-08-02 12:45:00,21780.12283830012,18.3825
2022-08-02 13:00:00,21113.3434215664,18.4
2022-08-02 13:15:00,20511.067773438277,18.4525
2022-08-02 13:30:00,19975.952786900238,18.505
2022-08-02 13:45:00,19525.406012206506,18.5575
2022-08-02 14:00:00,19174.512715805056,18.61
2022-08-02 14:15:00,19076.20426563938,18.96
2022-08-02 14:30:00,19099.010357603,19.31
2022-08-02 14:45:00,19248.690674750032,19.66
2022-08-02 15:00:00,19527.43082663162,20.01
2022-08-02 15:15:00,19617.18903182048,19.69
2022-08-02 15:30:00,19829.60259673267,19.37
2022-08-02 15:45:00,20156.264609765574,19.05
2022-08-02 16:00:00,20585.64210493982,18.73
2022-08-02 16:15:00,21075.097681143612,18.35
2022-08-02 16:30:00,21636.37251687106,17.97
2022-08-02 16:45:00,22251.057191392687,17.59
2022-08-02 17:00:00,22899.498870590654,17.21
2022-08-02 17:15:00,23616.880162182984,16.9475
2022-08-02 17:30:00,24327.332779855547,16.685000000000002
