y[kW],temp,datetime
2420.0,14.44,2021-04-12 08:45:00
2620.0,15.56,2021-04-12 09:00:00
2700.0,16.67,2021-04-12 09:15:00
2520.0,17.22,2021-04-12 09:30:00
2620.0,17.78,2021-04-12 09:45:00
2720.0,18.33,2021-04-12 10:00:00
2660.0,18.89,2021-04-12 10:15:00
2640.0,19.165,2021-04-12 10:30:00
2420.0,19.44,2021-04-12 10:45:00
2420.0,20.0,2021-04-12 11:00:00
2840.0,20.56,2021-04-12 11:15:00
3140.0,20.56,2021-04-12 11:30:00
2560.0,21.11,2021-04-12 11:45:00
2780.0,21.67,2021-04-12 12:00:00
2200.0,22.22,2021-04-12 12:15:00
2260.0,22.22,2021-04-12 12:30:00
2440.0,22.78,2021-04-12 12:45:00
2580.0,23.33,2021-04-12 13:00:00
2460.0,23.33,2021-04-12 13:15:00
3200.0,23.33,2021-04-12 13:30:00
2940.0,23.89,2021-04-12 13:45:00
3140.0,24.44,2021-04-12 14:00:00
3300.0,24.44,2021-04-12 14:15:00
2680.0,24.44,2021-04-12 14:30:00
3280.0,24.44,2021-04-12 14:45:00
3140.0,20.95,2021-04-12 15:00:00
3080.0,20.95,2021-04-12 15:15:00
3420.0,20.95,2021-04-12 15:30:00
3900.0,21.03,2021-04-12 15:45:00
4140.0,21.03,2021-04-12 16:00:00
3520.0,21.11,2021-04-12 16:15:00
3400.0,21.03,2021-04-12 16:30:00
3080.0,20.86,2021-04-12 16:45:00
3380.0,20.86,2021-04-12 17:00:00
3240.0,20.86,2021-04-12 17:15:00
2780.0,20.86,2021-04-12 17:30:00
3660.0,19.35,2021-04-12 17:45:00
2720.0,19.35,2021-04-12 18:00:00
3000.0,19.35,2021-04-12 18:15:00
3840.0,19.35,2021-04-12 18:30:00
6760.0,16.49,2021-04-12 18:45:00
8380.0,16.49,2021-04-12 19:00:00
8980.0,16.49,2021-04-12 19:15:00
8740.0,16.49,2021-04-12 19:30:00
9840.0,15.59,2021-04-12 19:45:00
9420.0,15.59,2021-04-12 20:00:00
8380.0,15.59,2021-04-12 20:15:00
9420.0,17.78,2021-04-12 20:30:00
9680.0,17.78,2021-04-12 20:45:00
9300.0,17.22,2021-04-12 21:00:00
9420.0,17.9,2021-04-12 21:15:00
9540.0,17.94,2021-04-12 21:30:00
8480.0,17.34,2021-04-12 21:45:00
7080.0,17.19,2021-04-12 22:00:00
6020.0,17.55,2021-04-12 22:15:00
5820.0,16.79,2021-04-12 22:30:00
5820.0,16.75,2021-04-12 22:45:00
5360.0,16.9,2021-04-12 23:00:00
5060.0,16.33,2021-04-12 23:15:00
5120.0,16.67,2021-04-12 23:30:00
4700.0,15.97,2021-04-12 23:45:00
4340.0,15.36,2021-04-13 00:00:00
4220.0,15.5,2021-04-13 00:15:00
4180.0,15.27,2021-04-13 00:30:00
4040.0,14.87,2021-04-13 00:45:00
3940.0,14.88,2021-04-13 01:00:00
3920.0,15.81,2021-04-13 01:15:00
3960.0,15.81,2021-04-13 01:30:00
3720.0,14.5,2021-04-13 01:45:00
3820.0,14.34,2021-04-13 02:00:00
3800.0,14.34,2021-04-13 02:15:00
3720.0,14.17,2021-04-13 02:30:00
4000.0,14.17,2021-04-13 02:45:00
3700.0,13.78,2021-04-13 03:00:00
3780.0,13.78,2021-04-13 03:15:00
4020.0,13.78,2021-04-13 03:30:00
3760.0,14.22,2021-04-13 03:45:00
3820.0,14.01,2021-04-13 04:00:00
3840.0,13.57,2021-04-13 04:15:00
3980.0,13.57,2021-04-13 04:30:00
3880.0,13.23,2021-04-13 04:45:00
3820.0,13.22,2021-04-13 05:00:00
3920.0,13.17,2021-04-13 05:15:00
3760.0,13.0,2021-04-13 05:30:00
3860.0,12.77,2021-04-13 05:45:00
3960.0,13.0,2021-04-13 06:00:00
4060.0,13.0,2021-04-13 06:15:00
3960.0,12.99,2021-04-13 06:30:00
3820.0,12.85,2021-04-13 06:45:00
4680.0,12.84,2021-04-13 07:00:00
4200.0,12.84,2021-04-13 07:15:00
2300.0,12.67,2021-04-13 07:30:00
2280.0,12.83,2021-04-13 07:45:00
2460.0,11.94,2021-04-13 08:00:00
2020.0,12.0,2021-04-13 08:15:00
3420.0,11.75,2021-04-13 08:30:00
3160.0,14.9,2021-04-13 08:45:00
2280.0,15.68,2021-04-13 09:00:00
2600.0,14.0,2021-04-13 09:15:00
3540.0,14.0,2021-04-13 09:30:00
3620.0,16.9,2021-04-13 09:45:00
3740.0,14.0,2021-04-13 10:00:00
3100.0,17.09,2021-04-13 10:15:00
2560.0,17.62,2021-04-13 10:30:00
2960.0,21.92,2021-04-13 10:45:00
3280.0,22.47,2021-04-13 11:00:00
3040.0,22.78,2021-04-13 11:15:00
3420.0,19.55,2021-04-13 11:30:00
2940.0,23.72,2021-04-13 11:45:00
2360.0,23.56,2021-04-13 12:00:00
2340.0,20.96,2021-04-13 12:15:00
2160.0,20.96,2021-04-13 12:30:00
2800.0,24.79,2021-04-13 12:45:00
2060.0,24.77,2021-04-13 13:00:00
2140.0,24.83,2021-04-13 13:15:00
2480.0,24.64,2021-04-13 13:30:00
2540.0,25.56,2021-04-13 13:45:00
2440.0,25.56,2021-04-13 14:00:00
2540.0,25.75,2021-04-13 14:15:00
2560.0,25.56,2021-04-13 14:30:00
2680.0,25.17,2021-04-13 14:45:00
2600.0,25.72,2021-04-13 15:00:00
3040.0,25.37,2021-04-13 15:15:00
3120.0,25.96,2021-04-13 15:30:00
3300.0,25.77,2021-04-13 15:45:00
3520.0,23.14,2021-04-13 16:00:00
3160.0,26.07,2021-04-13 16:15:00
3680.0,26.4,2021-04-13 16:30:00
3760.0,22.73,2021-04-13 16:45:00
2840.0,22.73,2021-04-13 17:00:00
3080.0,22.73,2021-04-13 17:15:00
2720.0,26.11,2021-04-13 17:30:00
2560.0,20.65,2021-04-13 17:45:00
2580.0,20.65,2021-04-13 18:00:00
3040.0,20.65,2021-04-13 18:15:00
4040.0,20.65,2021-04-13 18:30:00
7020.0,17.54,2021-04-13 18:45:00
9400.0,17.54,2021-04-13 19:00:00
10300.0,17.54,2021-04-13 19:15:00
10980.0,20.0,2021-04-13 19:30:00
11360.0,19.44,2021-04-13 19:45:00
11140.0,19.44,2021-04-13 20:00:00
11220.0,19.44,2021-04-13 20:15:00
11300.0,18.97,2021-04-13 20:30:00
11520.0,17.78,2021-04-13 20:45:00
11700.0,17.78,2021-04-13 21:00:00
11560.0,17.78,2021-04-13 21:15:00
11900.0,18.4,2021-04-13 21:30:00
9000.0,17.22,2021-04-13 21:45:00
7820.0,17.22,2021-04-13 22:00:00
7320.0,16.67,2021-04-13 22:15:00
7000.0,16.67,2021-04-13 22:30:00
6880.0,16.67,2021-04-13 22:45:00
6440.0,16.67,2021-04-13 23:00:00
5100.0,17.54,2021-04-13 23:15:00
4600.0,17.21,2021-04-13 23:30:00
4640.0,16.61,2021-04-13 23:45:00
4420.0,16.31,2021-04-14 00:00:00
4040.0,16.73,2021-04-14 00:15:00
4260.0,16.86,2021-04-14 00:30:00
4200.0,16.67,2021-04-14 00:45:00
4220.0,16.28,2021-04-14 01:00:00
4340.0,16.02,2021-04-14 01:15:00
4020.0,16.1,2021-04-14 01:30:00
3980.0,15.91,2021-04-14 01:45:00
4140.0,15.73,2021-04-14 02:00:00
4300.0,15.76,2021-04-14 02:15:00
4240.0,15.6,2021-04-14 02:30:00
4080.0,15.7,2021-04-14 02:45:00
4160.0,15.55,2021-04-14 03:00:00
4080.0,15.72,2021-04-14 03:15:00
4260.0,15.22,2021-04-14 03:30:00
4120.0,15.22,2021-04-14 03:45:00
3900.0,15.04,2021-04-14 04:00:00
3940.0,15.05,2021-04-14 04:15:00
3920.0,15.07,2021-04-14 04:30:00
4240.0,14.9,2021-04-14 04:45:00
4040.0,14.9,2021-04-14 05:00:00
3920.0,14.88,2021-04-14 05:15:00
3780.0,15.82,2021-04-14 05:30:00
3760.0,14.6,2021-04-14 05:45:00
3940.0,14.545,2021-04-14 06:00:00
3940.0,14.49,2021-04-14 06:15:00
4200.0,15.34,2021-04-14 06:30:00
3960.0,14.96,2021-04-14 06:45:00
5100.0,14.95,2021-04-14 07:00:00
4380.0,15.1,2021-04-14 07:15:00
2420.0,15.1,2021-04-14 07:30:00
2120.0,15.1,2021-04-14 07:45:00
2220.0,15.36,2021-04-14 08:00:00
2300.0,16.67,2021-04-14 08:15:00
3160.0,12.96,2021-04-14 08:30:00
3320.0,17.22,2021-04-14 08:45:00
2740.0,18.04,2021-04-14 09:00:00
3140.0,18.49,2021-04-14 09:15:00
2680.0,18.89,2021-04-14 09:30:00
3080.0,19.87,2021-04-14 09:45:00
2660.0,20.36,2021-04-14 10:00:00
2660.0,20.86,2021-04-14 10:15:00
2600.0,20.92,2021-04-14 10:30:00
3820.0,21.88,2021-04-14 10:45:00
4320.0,22.59,2021-04-14 11:00:00
3240.0,22.58,2021-04-14 11:15:00
3280.0,23.33,2021-04-14 11:30:00
3300.0,23.76,2021-04-14 11:45:00
2900.0,24.27,2021-04-14 12:00:00
2940.0,24.44,2021-04-14 12:15:00
2540.0,25.0,2021-04-14 12:30:00
2260.0,25.05,2021-04-14 12:45:00
2920.0,25.73,2021-04-14 13:00:00
3520.0,25.73,2021-04-14 13:15:00
3040.0,26.28,2021-04-14 13:30:00
3140.0,26.28,2021-04-14 13:45:00
2440.0,25.73,2021-04-14 14:00:00
2500.0,26.07,2021-04-14 14:15:00
2620.0,26.28,2021-04-14 14:30:00
3440.0,27.06,2021-04-14 14:45:00
3280.0,26.62,2021-04-14 15:00:00
2640.0,27.05,2021-04-14 15:15:00
3880.0,26.84,2021-04-14 15:30:00
3660.0,27.24,2021-04-14 15:45:00
3020.0,26.89,2021-04-14 16:00:00
3360.0,26.47,2021-04-14 16:15:00
3760.0,26.34,2021-04-14 16:30:00
3560.0,27.18,2021-04-14 16:45:00
3320.0,27.03,2021-04-14 17:00:00
3520.0,26.47,2021-04-14 17:15:00
3640.0,27.25,2021-04-14 17:30:00
3780.0,25.74,2021-04-14 17:45:00
3720.0,25.39,2021-04-14 18:00:00
3180.0,25.78,2021-04-14 18:15:00
4240.0,25.58,2021-04-14 18:30:00
8740.0,19.49,2021-04-14 18:45:00
8440.0,23.89,2021-04-14 19:00:00
9920.0,22.78,2021-04-14 19:15:00
10880.0,22.18,2021-04-14 19:30:00
11620.0,21.8,2021-04-14 19:45:00
11880.0,21.57,2021-04-14 20:00:00
11360.0,21.6,2021-04-14 20:15:00
11180.0,21.96,2021-04-14 20:30:00
12040.0,20.64,2021-04-14 20:45:00
11900.0,21.58,2021-04-14 21:00:00
10940.0,21.35,2021-04-14 21:15:00
10820.0,21.26,2021-04-14 21:30:00
10760.0,21.02,2021-04-14 21:45:00
8460.0,20.69,2021-04-14 22:00:00
7500.0,20.38,2021-04-14 22:15:00
7280.0,20.27,2021-04-14 22:30:00
7060.0,20.1,2021-04-14 22:45:00
6040.0,19.96,2021-04-14 23:00:00
5340.0,20.1,2021-04-14 23:15:00
5480.0,19.92,2021-04-14 23:30:00
5160.0,19.92,2021-04-14 23:45:00
4620.0,19.65,2021-04-15 00:00:00
4340.0,19.55,2021-04-15 00:15:00
4500.0,19.56,2021-04-15 00:30:00
4560.0,19.71,2021-04-15 00:45:00
4320.0,19.42,2021-04-15 01:00:00
4160.0,19.1,2021-04-15 01:15:00
4040.0,19.12,2021-04-15 01:30:00
4180.0,19.12,2021-04-15 01:45:00
4060.0,18.85,2021-04-15 02:00:00
3940.0,19.16,2021-04-15 02:15:00
3960.0,19.01,2021-04-15 02:30:00
3960.0,19.13,2021-04-15 02:45:00
3980.0,18.96,2021-04-15 03:00:00
4080.0,18.84,2021-04-15 03:15:00
3960.0,18.99,2021-04-15 03:30:00
3980.0,17.29,2021-04-15 03:45:00
3980.0,18.16,2021-04-15 04:00:00
3940.0,17.93,2021-04-15 04:15:00
4160.0,17.94,2021-04-15 04:30:00
3920.0,17.93,2021-04-15 04:45:00
3960.0,17.93,2021-04-15 05:00:00
4240.0,17.97,2021-04-15 05:15:00
4360.0,18.31,2021-04-15 05:30:00
4320.0,17.97,2021-04-15 05:45:00
4200.0,18.0,2021-04-15 06:00:00
4080.0,18.12,2021-04-15 06:15:00
4220.0,18.0,2021-04-15 06:30:00
4360.0,17.99,2021-04-15 06:45:00
5320.0,18.2,2021-04-15 07:00:00
5160.0,18.2,2021-04-15 07:15:00
3920.0,17.34,2021-04-15 07:30:00
2420.0,17.28,2021-04-15 07:45:00
2860.0,17.31,2021-04-15 08:00:00
2240.0,17.25,2021-04-15 08:15:00
2180.0,17.65,2021-04-15 08:30:00
2800.0,18.32,2021-04-15 08:45:00
2380.0,18.7,2021-04-15 09:00:00
1940.0,21.55,2021-04-15 09:15:00
2340.0,21.55,2021-04-15 09:30:00
2220.0,22.65,2021-04-15 09:45:00
2360.0,22.78,2021-04-15 10:00:00
2200.0,22.68,2021-04-15 10:15:00
2700.0,23.17,2021-04-15 10:30:00
3140.0,23.69,2021-04-15 10:45:00
3360.0,24.47,2021-04-15 11:00:00
2540.0,24.44,2021-04-15 11:15:00
2540.0,22.36,2021-04-15 11:30:00
